,portfolio_log_return,equity,drawdown,n_active
2026-04-13 12:00:00+00:00,0.002339372307881969,1.5054656600912362,-0.03166477573979143,5
2026-04-13 16:00:00+00:00,0.003612002250713124,1.5109132378527468,-0.028160822396181007,5
2026-04-13 20:00:00+00:00,0.029615531162140645,1.5563289213439113,0.0,5
2026-04-14 00:00:00+00:00,-0.002552897744241898,1.5523608399594153,-0.0025496418720212244,5
2026-04-14 04:00:00+00:00,-0.003387109317909842,1.5471117187856314,-0.005922400099280245,5
2026-04-14 08:00:00+00:00,0.0002453609591661933,1.547491366174309,-0.00567846234070557,5
2026-04-14 12:00:00+00:00,-0.009508532775653987,1.5328467286446215,-0.015088194004010846,5
2026-04-14 16:00:00+00:00,-0.019160752733560934,1.5037558233376414,-0.03378019728687709,5
2026-04-14 20:00:00+00:00,0.006127432647835945,1.5129982731907932,-0.027841574848908923,5
2026-04-15 00:00:00+00:00,0.0012350692706131973,1.5148680853005576,-0.026640150083153236,5
2026-04-15 04:00:00+00:00,-0.003228612820423192,1.509985049736424,-0.029777684506093194,5
2026-04-15 08:00:00+00:00,0.0029717871899392137,1.514479078305072,-0.026890101741925854,5
2026-04-15 12:00:00+00:00,0.017688917447050447,1.5415069155451244,-0.009523697462351266,5
2026-04-15 16:00:00+00:00,0.0244280228422489,1.5796265801368699,0.0,5
2026-04-15 20:00:00+00:00,-0.01931054266299887,1.5494157660643515,-0.019125288503249127,5
2026-04-16 00:00:00+00:00,-0.0055994708905365755,1.5407641025593077,-0.024602319349548263,5
2026-04-16 04:00:00+00:00,0.0023646030884529245,1.5444117089859217,-0.02229316193697939,5
2026-04-16 08:00:00+00:00,-0.008442675920025898,1.5314276287546378,-0.030512876896548358,5
2026-04-16 12:00:00+00:00,0.006882259201279094,1.5420036624012796,-0.023817602342656397,5
2026-04-16 16:00:00+00:00,0.0054553938777104445,1.5504388875581119,-0.018477590175919212,5
2026-04-16 20:00:00+00:00,-0.00240907291225449,1.5467082627098878,-0.020839303314413526,5
2026-04-17 00:00:00+00:00,0.0009745984398738003,1.548216416972685,-0.01988454965189501,5
2026-04-17 04:00:00+00:00,0.012840284849361382,1.5682241342762864,-0.007218443905644745,5
2026-04-17 08:00:00+00:00,0.012916310877629495,1.5886111840245964,0.0,5
2026-04-17 12:00:00+00:00,0.02366867716776317,1.6266600157926159,0.0,5
2026-04-17 16:00:00+00:00,0.0008865729951411216,1.6281028081107425,0.0,5
2026-04-17 20:00:00+00:00,-0.012680956454216213,1.6075872605993962,-0.012600891914898549,5
2026-04-18 00:00:00+00:00,0.0017490854963329075,1.6104015286412332,-0.010872335199796135,5
2026-04-18 04:00:00+00:00,0.007625076321676536,1.6227278982370956,-0.0033013332124178785,5
2026-04-18 08:00:00+00:00,-0.01788147520722139,1.5939690214214242,-0.02096537547830124,5
2026-04-18 12:00:00+00:00,-0.000380732954869322,1.5933622604002158,-0.02133805527357313,5
2026-04-18 16:00:00+00:00,-0.00399086196147795,1.5870160434252956,-0.02523597679505518,5
2026-04-18 20:00:00+00:00,-0.005097305274688684,1.5789471205286552,-0.030192004667768946,5
2026-04-19 00:00:00+00:00,0.008178665732465753,1.5919137538377395,-0.022227745135454224,5
2026-04-19 04:00:00+00:00,-0.007080192761327666,1.5806825042249555,-0.029126111477452588,5
2026-04-19 08:00:00+00:00,0.020684874608904533,1.6137192259171564,-0.00883456629515722,5
2026-04-19 12:00:00+00:00,-0.011360087890685122,1.5954909670231525,-0.020030578489962148,5
2026-04-19 16:00:00+00:00,-0.007978125965194802,1.5828125812400395,-0.0278177929827772,5
2026-04-19 20:00:00+00:00,-0.02298619843415207,1.5468447032219377,-0.049909689046662264,5
2026-04-20 00:00:00+00:00,0.014181005208668187,1.5689367897856612,-0.036340468200369846,5
2026-04-20 04:00:00+00:00,0.0018426025006053406,1.5718303816889607,-0.03456318983140905,5
2026-04-20 08:00:00+00:00,0.009328436719495467,1.5865617052218486,-0.02551503669298283,5
2026-04-20 12:00:00+00:00,-0.003792894597242873,1.5805554416647498,-0.02920415480467531,5
2026-04-20 16:00:00+00:00,0.0038049006674516894,1.5865807537074208,-0.02550333688786155,5
2026-04-20 20:00:00+00:00,-0.006422992137122061,1.5764228151033173,-0.03174246291448568,5
2026-04-21 00:00:00+00:00,-0.004981402751431343,1.5685895446902713,-0.03655375024475915,5
2026-04-21 04:00:00+00:00,0.018059701914889478,1.5971751511243302,-0.018996132696497803,5
2026-04-21 08:00:00+00:00,-0.000787062097697009,1.5959185696681826,-0.019767939888210573,5
2026-04-21 12:00:00+00:00,0.0031777249657285226,1.6009980262339227,-0.016648077591778332,5
2026-04-21 16:00:00+00:00,-0.011913328760291757,1.5820379733200485,-0.02829356632837443,5
2026-04-21 20:00:00+00:00,0.004526169413279552,1.5892147746627805,-0.023885490065021053,5
2026-04-22 00:00:00+00:00,0.015410018716694632,1.6138942714569184,-0.008727051254405538,5
2026-04-22 04:00:00+00:00,0.0013338794154607557,1.6160484481909476,-0.007403930427331451,5
2026-04-22 08:00:00+00:00,-0.0014991829456232231,1.6136275110853606,-0.008890898629539845,5
2026-04-22 12:00:00+00:00,-0.007009903362229955,1.6023556915098718,-0.01581418352244457,5
2026-04-22 16:00:00+00:00,0.0008473415010749009,1.603714009385054,-0.014979888618943837,5
2026-04-22 20:00:00+00:00,-0.0002420284551732264,1.6033259119280312,-0.015218262667001103,5
